original_path,artifact_type,size_bytes,sha256,title,version,status,likely_destination,counterpart,classification,final_disposition,notes
input-documents/AI-ROS-Bootstrap-Kit-v1.0/README.md,md,1751,af3d381a5dbc483cee693e2690980a56ca85892532ac184bf9083f91b5cf94aa,AI Research Operating System,bootstrap-v1,experimental,README.md,none,canonical-update-candidate,moved,Promoted to active root README then updated
input-documents/AI-ROS-Bootstrap-Kit-v1.0/ROADMAP.md,md,2071,26b4137961872d49d9571c2c2341beb0ef9d643f62dfb19254cf5a6404885daa,AI-ROS Roadmap,na,experimental,ROADMAP.md,none,canonical-update-candidate,moved,Promoted to active root roadmap then updated
input-documents/AI-ROS-Bootstrap-Kit-v1.0/constitution/000-engineering-constitution.md,md,4839,99b630853446d7a2823324abb50ce5d9d55d6d31b32d94523f61f61dd4628850,AI-ROS Engineering Constitution,0.1.0,experimental,docs/governance/000-engineering-constitution.md,none,canonical-new,moved,Primary governance artifact
input-documents/AI-ROS-Bootstrap-Kit-v1.0/mobile/ios/setup/Apple-Shortcuts-Setup.md,md,965,a1f9879e4f4b1758c3d9d57869497c8da4a2f57a5f9927833f78065ddf729923,Apple Shortcuts Setup,na,experimental,docs/mobile/ios/setup/apple-shortcuts-setup.md,none,mobile-workflow,moved,Canonical mobile setup guidance
input-documents/AI-ROS-Bootstrap-Kit-v1.0/mobile/ios/setup/Working-Copy-Setup.md,md,1048,bc1bae828de10e9bae46e8207582a122fbc648c1473f387044957f61a0b2e881,Working Copy Setup,na,experimental,docs/mobile/ios/setup/working-copy-setup.md,none,mobile-workflow,moved,Canonical mobile Git client guidance
input-documents/AI-ROS-Bootstrap-Kit-v1.0/mobile/ios/shortcuts/AI-ROS-Launcher.md,md,1162,302a29bf9a9ad0f9f6ee216ab35180db1e2ba3bb8d8c28409e0816e005b76340,Shortcut Specification AI-ROS Launcher,na,experimental,docs/mobile/ios/shortcuts/ai-ros-launcher.md,none,mobile-workflow,moved,Canonical shortcut specification
input-documents/AI-ROS-Bootstrap-Kit-v1.0/mobile/ios/shortcuts/Capture-Research.md,md,2432,7d9d2d54a3426ba285aa36ae50e13080a43114c2a87306c083509e579b290e4e,Shortcut Specification Capture Research,na,experimental,docs/mobile/ios/shortcuts/capture-research.md,none,mobile-workflow,moved,Canonical shortcut specification
input-documents/AI-ROS-Bootstrap-Kit-v1.0/mobile/ios/workflows/Mobile-Research-Cycle.md,md,1025,8708fdabf36e5ddd814528fc5d34542cc01fb7e28b971159a70a92af9d69f93f,Mobile Research Cycle,na,experimental,docs/mobile/ios/workflows/mobile-research-cycle.md,none,mobile-workflow,moved,Canonical mobile workflow
input-documents/AI-ROS-Bootstrap-Kit-v1.0/prompts/agents/Repository-Ready-Research-Agent.md,md,1207,6c14e02917c04b4d761996417a260f0836231be8190311f635674af9911af465,Repository-Ready Research Agent,na,experimental,ai-prompts/agents/Repository-Ready-Research-Agent.md,none,prompt,moved,Reusable research agent prompt
input-documents/AI-ROS-Bootstrap-Kit-v1.0/prompts/bootstrap/AI-ROS-Bootstrap-Agent.md,md,3381,6e5953717d8568a049bb89b1f41c575c92e0a62d64348a021a7fc96852669a81,AI-ROS Bootstrap and Evolution Agent,na,experimental,ai-prompts/bootstrap/AI-ROS-Bootstrap-Agent.md,none,prompt,moved,Reusable bootstrap prompt
input-documents/AI-ROS-Bootstrap-Kit-v1.0/research/concepts/.gitkeep,placeholder,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,.gitkeep,na,na,research/concepts/.gitkeep,none,placeholder-directory,recreated-and-removed,Canonical empty research directory preserved outside intake
input-documents/AI-ROS-Bootstrap-Kit-v1.0/research/decisions/.gitkeep,placeholder,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,.gitkeep,na,na,research/decisions/.gitkeep,none,placeholder-directory,recreated-and-removed,Canonical empty research directory preserved outside intake
input-documents/AI-ROS-Bootstrap-Kit-v1.0/research/evidence/.gitkeep,placeholder,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,.gitkeep,na,na,research/evidence/.gitkeep,none,placeholder-directory,recreated-and-removed,Canonical empty research directory preserved outside intake
input-documents/AI-ROS-Bootstrap-Kit-v1.0/research/experiments/.gitkeep,placeholder,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,.gitkeep,na,na,research/experiments/.gitkeep,none,placeholder-directory,recreated-and-removed,Canonical empty research directory preserved outside intake
input-documents/AI-ROS-Bootstrap-Kit-v1.0/research/journals/.gitkeep,placeholder,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,.gitkeep,na,na,research/journals/.gitkeep,none,placeholder-directory,recreated-and-removed,Canonical empty research directory preserved outside intake
input-documents/AI-ROS-Bootstrap-Kit-v1.0/research/packages/.gitkeep,placeholder,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,.gitkeep,na,na,research/packages/.gitkeep,none,placeholder-directory,recreated-and-removed,Canonical empty research directory preserved outside intake
input-documents/AI-ROS-Bootstrap-Kit-v1.0/research/theories/.gitkeep,placeholder,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,.gitkeep,na,na,research/theories/.gitkeep,none,placeholder-directory,recreated-and-removed,Canonical empty research directory preserved outside intake
input-documents/AI-ROS-Bootstrap-Kit-v1.0/specifications/research/Research-Execution-Package-Specification-v2.md,md,3897,eff69198cdce0e874d8fa66195d81be96aa122362f08ac1ead6469c82b0a82b0,Research Execution Package REP Specification,2.0,canonical,ai-prompts/Research-Execution-Package-Specification-v2.md,ai-prompts/Research-Execution-Package-Specification-v2.md,duplicate-exact,removed,Byte-identical duplicate of existing canonical REP v2
input-documents/AI-ROS-Bootstrap-Kit-v1.0/templates/AGENT-HANDOFF.template.md,md,405,ff79d7608ef593dba7e8ebb7fac404bec76550016f1c7b05a600876952de6216,Agent Handoff Template,na,experimental,templates/AGENT-HANDOFF.template.md,none,template,moved,Canonical template
input-documents/AI-ROS-Bootstrap-Kit-v1.0/templates/CURRENT-STATE.template.md,md,302,e8ce368ceb6f12f168274a0088e12763e8a3b4cff6e8ea1e5b9352e212fa9162,Current State Template,na,experimental,templates/CURRENT-STATE.template.md,none,template,moved,Canonical template
input-documents/AI-ROS-Bootstrap-Kit-v1.0/templates/DECISION.template.md,md,377,04768693ca56e1e4a5a73e2b9324b9024709f6a33f8a3ecee1686e81dff2ace3,Decision Template,na,experimental,templates/DECISION.template.md,none,template,moved,Canonical template
input-documents/AI-ROS-Bootstrap-Kit-v1.0/templates/EVIDENCE.template.md,md,358,e3aad862cce0a706d431b8b5acebd901bba275ef0337f3cf6136b8f0f2922302,Evidence Record Template,na,experimental,templates/EVIDENCE.template.md,none,template,moved,Canonical template
input-documents/AI-ROS-Bootstrap-Kit-v1.0/templates/RESEARCH-QUESTION.template.md,md,251,5cc321063a65475105454d92cbedd6abaf009e84166e627e722481f64317e03a,Research Question Template,na,experimental,templates/RESEARCH-QUESTION.template.md,none,template,moved,Canonical template
input-documents/AI-ROS-Bootstrap-Kit-v1.0/templates/THEORY.template.md,md,361,841cf73402b04e3d9b5a09686df0bc9d6bfda7a7299d8ce44fde580d91f03152,Theory Template,na,experimental,templates/THEORY.template.md,none,template,moved,Canonical template
input-documents/AI-ROS-Bootstrap-Kit-v1.0/tests/README.md,md,209,779e8d42299a13c141c7928e5e9f01900a17f6f9e2de8f897adcef6ce29c152e,Tests README,na,experimental,docs/repository/bootstrap-tests-placeholder.md,none,supplemental,moved,Historical placeholder for future tests scope
input-documents/AI-ROS-Bootstrap-Kit-v1.0/tools/README.md,md,270,8d70e394cca1132b581d7ed4cba8ffa0280fd875e908b9faf923f1cf494a8998,Tools README,na,experimental,docs/repository/bootstrap-tools-placeholder.md,none,supplemental,moved,Historical placeholder for future tools scope
input-documents/AI-ROS-Bootstrap-Kit-v1.0/website/README.md,md,195,2e1fc5450efd21b793519a95d86a9f72c04350ec099df83f5e523dce1ab14e2a,Generated Website README,na,experimental,docs/repository/bootstrap-website-placeholder.md,none,supplemental,moved,Historical placeholder for future website scope
input-documents/CODEX-RUN-INSTRUCTIONS.md,md,1515,8fbcef0c6d77cfe4bb8b2fd362d706e013838d90a59ba13953d7ec5d22374a70,Run AI-ROS Bootstrap with Codex,na,experimental,docs/repository/codex-run-instructions.md,tools/bootstrap/bootstrap-ai-ros.sh,supplemental,moved,Operational instructions normalized to current paths
input-documents/Chapter 1/Chapter-01-Why-AI-Engineering-Is-Different.zip,zip,16739,88d9ce31823ab2ecb24bded7eda3ae4431e7d0e0485e0d26c4d97d84efaaaf07,Chapter 01 Why AI Engineering Is Different,na,derived,archive/packages/ai-engineering-course/chapter-01-why-ai-engineering-is-different.zip,content/projects/ai-engineering-course/chapter-01/*,archive-only,moved,Derived package preserved for provenance
input-documents/Chapter 1/CheatSheet.md,md,393,c1f65e2da88f9c74c9671754faac8791e6af9e5660d22c1e48113a2331f58b65,Lesson 1 Cheat Sheet,na,draft,content/projects/ai-engineering-course/chapter-01/derived/lesson-01-cheat-sheet.md,lesson-01 canonical lesson,supplemental,moved,Derived teaching aid
input-documents/Chapter 1/Course-Constitution.md,md,1381,17c8be7ca82c213cfbd947643bd06447470d097372cd963f18098452bd0dd36f,AI Engineering Course Constitution,na,draft,content/projects/ai-engineering-course/governance/course-constitution.md,none,canonical-new,moved,Canonical course governance
input-documents/Chapter 1/Course-Roadmap.md,md,387,7ad49c7147d55bc225c831eaf84f519b3fa21507916e47f478acc4df97cafbd7,Course Roadmap,na,draft,content/projects/ai-engineering-course/roadmaps/course-roadmap.md,none,canonical-new,moved,Canonical course roadmap stub
input-documents/Chapter 1/Lesson 2.md,md,741,c60ae3f577634e3a8be2dd6f76d5b329e54d7b7a8b1500a7e59c25abf33c36fc,Lesson 1 Working Draft,na,draft,content/projects/ai-engineering-course/chapter-01/drafts/lesson-01-working-draft.md,lesson-01 canonical lesson,conflicting-version,moved,Preserved as draft due filename and title conflict
input-documents/Chapter 1/Lesson.md,md,1935,3fb679ce93a1ac575abfcbeedf0dac69ed98594bc53420c2df527097bacd3ecf,Lesson 1 Why AI Sometimes Feels Like Magic,na,draft,content/projects/ai-engineering-course/chapter-01/lesson-01-why-ai-sometimes-feels-like-magic-and-sometimes-feels-completely-useless.md,none,canonical-new,moved,Canonical chapter lesson
input-documents/Chapter 1/Notes.md,md,460,84209683d302fda5f9a0f1ccbdd72666ceb24f493042d7a94e3d030e49d97d9a,Lesson 1 Notes,na,draft,content/projects/ai-engineering-course/chapter-01/derived/lesson-01-notes.md,lesson-01 canonical lesson,supplemental,moved,Supporting notes preserved as derived content
input-documents/Chapter 1/Research-Package-001.md,md,1164,033ba9c2e0ee1c81076be141d3be840af9d0eee85a951dc2edfcf8f9ff19a2e4,Research Package 001 Brief,na,draft,content/projects/ai-engineering-course/chapter-01/research/research-package-001-brief.md,Research.md,canonical-new,moved,Canonical research brief
input-documents/Chapter 1/Research.md,md,3171,b58abb14cb0d40d6a9472475a68cc9ae33d5d81c3cd1684b9733357e3cd4ace3,Research Package 001 Notes,na,draft,content/projects/ai-engineering-course/chapter-01/research/research-package-001-notes.md,Research-Package-001.md,canonical-new,moved,Canonical research notes
input-documents/Chapter 1/Workbook.md,md,467,dece2e676dfa8b77c500c2eb6fa6bf754eb7606bdbac112994dbc0c0a47d5793,Lesson 1 Workbook,na,draft,content/projects/ai-engineering-course/chapter-01/derived/lesson-01-workbook.md,lesson-01 canonical lesson,supplemental,moved,Derived exercise artifact
input-documents/bootstrap-ai-ros.sh,sh,36367,b49ffd18d93789cff67069b46e806ea810afd571397c65e66b1516ca50d73aa7,bootstrap-ai-ros.sh,na,experimental,tools/bootstrap/bootstrap-ai-ros.sh,docs/repository/codex-run-instructions.md,tooling,moved,Preserved bootstrap script under tools/bootstrap
input-documents/research-relay-system.md,md,26453,90ce44daf20947ff38175b7c9980ee1d46ada8bdb6f9aa001b26d09b8861889a,The Research Relay System,na,draft,content/disciplines/ai-engineering/research-relay-system.md,none,canonical-new,moved,Distinct research operating model and templates
